type,lat,lon
2,-34.74906,-58.58162
2,-34.69679,-58.53655
2,-34.68332,-58.50261
2,-34.45938,-58.73673
2,-34.76000,-58.39606
2,-34.60181,-58.54313
2,-34.91236,-58.59508
2,-34.71154,-58.35040
2,-34.71064,-58.32512
2,-34.61017,-58.40795
2,-34.66218,-58.51911
2,-34.82353,-58.34793
2,-34.64843,-58.54683
2,-34.77331,-58.19588
2,-34.80108,-58.34019
2,-34.68458,-58.55755
2,-34.68174,-58.55470
2,-34.67846,-58.48644
2,-34.66861,-58.50749
2,-34.64900,-58.46923
2,-34.63920,-58.52705
2,-34.63524,-58.48778
2,-34.63518,-58.43407
2,-34.63180,-58.40205
2,-34.63055,-58.40635
2,-34.76102,-58.62181
2,-34.64751,-58.62109
2,-34.46753,-58.90747
2,-34.75175,-58.58452
2,-34.54469,-58.76145
2,-34.48279,-58.87096
2,-34.82837,-58.39255
2,-34.76502,-58.21545
2,-34.63678,-58.40380
2,-34.63528,-58.48796
2,-34.61973,-58.40799
2,-34.61433,-58.46067
2,-34.60813,-58.39487
2,-34.60458,-58.45857
2,-34.60432,-58.37222
2,-34.58372,-58.49796
2,-34.51872,-58.75119
2,-34.41208,-58.71456
2,-34.62935,-58.38276
2,-34.73360,-58.63488
2,-34.50724,-58.56629
2,-34.73727,-58.60178
2,-34.70950,-58.27711
2,-34.70619,-58.31985
2,-34.50889,-58.80018
2,-34.62528,-58.44759
2,-34.62012,-58.40920
2,-34.60661,-58.39111
2,-34.60260,-58.44145
2,-34.59877,-58.42882
2,-34.59122,-58.41289
2,-34.58727,-58.39733
2,-34.58039,-58.47506
2,-34.76026,-58.40353
2,-34.67369,-58.47561
2,-34.65222,-58.47250
2,-34.63142,-58.41447
2,-34.62513,-58.38231
2,-34.60615,-58.38269
2,-34.60477,-58.48708
2,-34.60383,-58.43565
2,-34.59859,-58.37403
2,-34.54253,-58.71156
2,-34.56509,-59.11683
2,-34.39678,-58.74388
2,-34.90498,-57.95517
2,-34.95708,-57.98303
2,-34.79445,-58.21171
2,-34.65720,-58.79670
2,-34.45114,-58.57059
2,-34.61726,-58.43422
2,-34.64930,-58.61753
2,-34.74542,-58.60933
2,-34.49473,-58.84204
2,-34.50259,-58.78166
2,-34.67428,-58.56280
2,-34.60715,-58.59578
2,-34.67204,-58.55990
2,-34.79687,-58.33364
2,-34.83602,-58.44067
2,-34.86008,-58.25217
2,-34.62247,-58.37716
2,-34.74888,-58.58516
5,-34.60774,-58.56410
2,-34.76926,-58.28380
2,-35.02405,-58.42186
5,-34.45761,-58.91267
2,-34.63965,-58.53223
2,-34.58454,-58.74877
2,-34.65440,-58.52915
2,-34.69813,-58.31060
2,-34.70357,-58.37621
2,-34.71876,-58.40529
2,-34.98611,-58.37272
2,-34.70743,-58.47840
2,-34.85989,-58.38626
2,-34.79426,-58.35836
2,-34.70873,-58.45610
2,-34.68144,-58.55509
2,-34.67670,-58.41829
2,-34.65040,-58.64175
2,-34.64353,-58.44117
2,-34.63648,-58.40213
2,-34.57870,-58.53515
2,-34.57317,-58.53279
2,-34.57317,-58.53279
2,-34.49943,-58.69409
2,-34.45306,-58.53869
2,-34.64445,-58.49301
2,-34.80075,-58.23916
2,-34.55480,-59.11321
2,-35.05876,-58.75449
2,-34.60182,-58.37392
2,-34.68179,-58.51453
2,-34.60430,-58.72891
2,-34.73794,-58.69585
2,-34.60912,-58.81502
2,-34.91611,-58.37915
2,-34.88896,-58.02143
2,-34.67112,-58.56305
2,-34.59065,-58.43372
2,-34.63392,-58.52183
2,-34.57821,-58.53571
2,-34.56553,-58.56565
2,-34.57317,-58.53279
2,-34.49380,-58.62727
2,-34.83655,-58.18670
2,-34.84592,-58.07767
2,-34.46962,-58.55191
2,-34.78200,-58.24625
2,-34.90586,-57.94999
2,-34.80102,-58.34238
2,-34.46085,-58.77437
2,-34.77571,-58.23552
2,-34.95809,-58.73145
2,-34.67582,-58.41727
2,-34.62394,-58.44978
2,-34.62379,-58.49511
2,-34.62059,-58.50743
2,-34.61074,-58.39182
2,-34.60983,-58.40138
2,-34.60170,-58.40475
2,-34.59888,-58.40387
2,-34.59014,-58.39407
2,-34.57416,-58.44916
2,-34.74352,-58.39429
2,-34.64246,-58.52025
2,-34.45222,-58.55406
2,-34.85470,-58.07901
2,-34.67746,-58.47558
2,-34.91860,-57.95390
2,-34.62720,-58.42687
